_id,name
1,Light Lager
2,Pilsner
3,European Amber Lager
4,Dark Lager
5,Bock
6,Light Hybrid Beer
7,Amber Hybrid Beer
8,English Pale Ale
9,Scottish and Irish Ale
10,American Ale
11,English Brown Ale
12,Porter
13,Stout
14,India Pale Ale(IPA)
15,German Wheat and Rye Beer
16,Belgian and French Ale
17,Sour Ale
18,Belgian Strong Ale
19,Strong Ale
20,Fruit Beer
21,Spice/Herb/Vegetable Beer
22,Smoke-Flavored/Wood-Aged Beer
23,Specialty Beer
24,Traditional Mead
25,Melomel (Fruit Mead)
26,Other Mead
27,Standard Cider and Perry
28,Specialty Cider and Perry
