Type,Supplier,Name,Notes,Color
Grain,Briess,2-Row Brewers Malt ,"Base malt for all beer styles. Contributes light straw color. Slightly higher yield than 6-Row Malt. Slightly lower protein than 6-Row Malt.
Flavor: Clean, sweet, mild malty ",1.8
Grain,Briess,6-Row Brewers Malt ,"Base malt for all beer styles. Contributes light straw color. Mmore husk than 2-Row Malt. Higher enzymes than 2-Row malt. Well suited for high adjunct brewing.
Flavor: Mild, Grainy, Malty ",1.8
Grain,Briess,Pilsen Malt,"Base malt for all beer styles. Very light color contribution. Lightest colored base malt available. Produces very light colored, clean, crisp wort. Excellent choice for lagers. Allows the full flavor of specialty malts to shine through.
Flavor: Clean, sweet, delicate malty flavor",1
Grain,Briess,Pale Ale Malt,"Use as a rich malty 2-Row base malt. Contributes golden color. A fully modified, high extract, low protein malt. Sufficient enzymes to suport the inclusion of event he most demanding specialty malts without extending the brewing cycle.
Flavor: Rich malt flavor; hints of biscuit and nutlike flavors",3.5
Grain,Briess,"Wheat Malt, White ","Use as part of all of base malt in wheat beers. Contributes light straw color. When using more than 50% consider using a filtering aid for efficient lautering.
Flavor: Sweet, Malty, Wheat, Mild bread dough",2.6
Grain,Briess,"Wheat Malt, Red ","Use as part of all of base malt in wheat beers. Contributes light straw color. Runs efficiently through the brewhouse even with slightly higher protein than White Wheat Malt. Often used in Hefeweizen and other traditional wheat styles due to a distinctive, characteristic wheat flour flavor. When using more than 50% consider using a filtering aid for efficient lautering.
Flavor: Cream, Sweet, Malty, Wheat flour ",2.6
Grain,Briess,Vienna Malt,"Contributes hues leaning toward golden/light orange 
Flavor: Slightly malty, warm with a light biscuit note",3.5
Grain,Briess,Ashburne® Mild Malt,"Contributes righ golden hues 
Flavor: Slightly malty and sweet with a subtle toasty note",5.3
Grain,Briess,Bonlander® Munich Malt,"Golden leaning toward orange hues 
Flavor: Very smooth and malty sweet, warming",10
Grain,Briess,Aromatic® (Munich) Malt,"Deep golden with orange hues
Flavor: Very smooth with an intense maltiness",20
Grain,Briess,Munich Malt 10L,"Golden leaning toward orange hues
Flavor: Smooth and malty sweet, warming",10
Grain,Briess,Munich Malt 20L,"Deep golden with orange hues
Flavor: Smooth with an intense maltiness",20
Grain,Briess,Caracrystal® Wheat Malt,"Made from locally sourced wheat; Sweet and smooth; Exceptionally clean finish; Golden to orange to mahogany color
Flavor: Malty, Bready, Subtle Caramel, Toffee ",45
Grain,Briess,Carabrown® Malt,"Begins slightly sweet; Delivers an array of toasted flavors; Smooth and clean with a slightly dry finish; Light brown/orange color contributions 
Flavor: Smooth, Slightly sweet Malty,
Lightly toasted, Biscuity, Nutty, Graham Cracker, Clean, dry finish",55
Grain,Briess,Midnight Wheat Malt,"Midnight Wheat Malt will deliver intense color and subtle, smooth flavor to Black IPAs, Schwarbier and other dark beers that long for color without bitter or harsh flavors. Made from Wisconsin wheat.
Flavor: Smooth, No bitter, astringent, dry flavors or aftertaste, 
Starts slightly sweet, Mild roasted/chocolate/coffee flavors and aromas, Finishes exceptionally clean",550
Grain,Briess,Blackprinz® Malt,"Excellent for minor color adjustment with little or no flavor in lighter colored ales and lagers. Adds color with subtle, smooth flavor in Black IPAs, Dark Mild Ales, Brown Ales, Dark Wheat Beers and Schwarzbier. Use in larger quantitites for color plus hints of toasted malty flavor. 
Flavor: Smooth, Mellow, No bitter, astringent, dry flavors or aftertaste, Hints of toasted malt ",500
Grain,Briess,Smoked Malt,"Suggested Beginning Usage Rates:
5-10% - Noticeable smoke character in lighter styles such as Scottish Ales and Oktoberfests
10-20% - Pronounced smoke character in lighter styles like Scottish Ales and Oktoberfests
30-60% - Noticeable to pronounced smoke character in darker styles like Stouts and Porters
Briess Smoked Malt delivers intense smoked flavor. We recommend limiting usage to 60% of the grist.
Flavor: Intense smoke flavor; smooth, sweet, smoked malt character",5
