_id,hop_id,substitute_id
1,1,67
2,1,37
3,1,9
4,2,74
5,5,37
6,6,38
7,6,20
8,7,8
9,7,13
10,8,7
11,8,13
12,8,10
13,9,46
14,9,64
15,9,22
16,10,15
17,10,20
18,10,39
19,10,59
20,10,62
21,12,5
22,13,39
23,13,10
24,13,7
25,13,8
26,13,69
27,13,75
28,14,25
29,14,33
30,14,29
31,15,20
32,15,39
33,15,40
34,16,22
35,16,14
36,18,74
37,21,15
38,21,39
39,21,40
40,25,33
41,25,29
42,26,48
43,27,25
44,27,33
45,27,29
46,27,60
47,30,33
48,30,25
49,30,14
50,33,29
51,33,25
52,33,14
53,37,46
54,37,22
55,37,5
56,38,25
57,38,50
58,38,6
59,39,20
60,39,40
61,40,10
62,41,18
63,45,25
64,45,33
65,45,29
66,46,9
67,48,22
68,48,26
69,49,53
70,49,68
71,50,41
72,50,12
73,50,38
74,53,68
75,53,71
76,53,14
77,60,25
78,63,25
79,63,33
80,63,29
81,63,27
82,63,59
83,64,22
84,67,18
85,67,74
86,68,53
87,68,14
88,69,13
89,69,75
90,71,14
91,71,53
92,71,68
93,75,69
94,75,13
